物资,折算金额(万元),来源,链接
捐款3.9亿,39000,,https://posts.careerengine.us/p/5e3329b80b20de7b7d61731f?from=latest-posts-panel&type=title
莲花清瘟胶囊（24粒装）13.5万盒,500,河北以岭药业有限公司,http://www.hbsredcross.org.cn/xxgk/4704.jhtml
聚维酮碘消毒液1400瓶60箱,4.9,上海宇昂科技王宇董事长,
口罩（N95型、一次性口罩）5万只,7,杭州占戈贸易有限公司,
口罩（KN95型1200盒、银离子口罩2万只、一次性口罩3.4万只）,76,"
江苏新农科技有限公司
",
医用口罩5万只、消毒液1000瓶,3.46,湖北稳健集团,
N95型口罩1万只,20,中国科学院王中林院士,
壁挂式离子木智能空气消毒仪10台,5,安徽惟北大鱼环保科技有限公司 ,
双黄连口服液,110,黑龙江红十字会,
捐赠口罩、抗菌床品、白大衣、护士服等用品,14.927,河南省红十字会,
口罩3万个,4.5,江西华强医疗器械有限公司,
口罩3000个,1.2,陕西韩女士,
硒茶粉25袋,,刘芳菲,
静注人免疫球蛋白（PH4）150瓶、盐酸阿比多胶囊（400盒）、洁肤柔抗菌洗手液216瓶、碘伏皮肤消毒液169瓶、安尔碘皮肤消毒剂24瓶,20.11,天津市红十字会,
N95口罩36000个,36,北京森根比亚生物工程技术有限公司,
护目镜144个,0.36,倪忠华,
护目镜98个，医用橡胶手套198副，酒精消毒棉片210*160mm5500片，140*90mm3900片,2.3,涿州华诺救生装备有限公司,
拜欧海多汀1500支,56.7,苏州宝集沣生物科技有限公司,