编号,日期,当日拨款,当日发放物资 万元,合计 万元,链接
,25-Jan,,,,
,26-Jan,,,,
,27-Jan,,,,
,28-Jan,,,,
,29-Jan,,,,
,30-Jan,,862,862,
8,31-Jan,20000,,20000,http://www.hbsredcross.org.cn/xxgk/8643.jhtml
,1-Feb,,,,
9,2-Feb,2437.33,,2437.33,http://www.hbsredcross.org.cn/xxgk/27670.jhtml
10,6-Feb,10000,,10000,http://www.hbsredcross.org.cn/xxgk/42900.jhtml
11,8-Feb,8850,,8850,http://www.hbsredcross.org.cn/xxgk/45474.jhtml
12,8-Feb,2347.68,,2347.68,http://www.hbsredcross.org.cn/xxgk/46587.jhtml
13,9-Feb,,1063,1063,http://www.hbsredcross.org.cn/xxgk/49599.jhtml
14,9-Feb,,1411,1411,http://www.hbsredcross.org.cn/xxgk/49600.jhtml
15,10-Feb,,1202,1202,http://www.hbsredcross.org.cn/xxgk/49601.jhtml
,,,,,
,,,,,
,,,,,
合计,,,,48173.01,